country,year,medal,count,population
Turkey,1972,Silver,1,36587261
Spain,2012,Bronze,25,46773055
Poland,1968,Gold,5,32294655
Finland,1960,Bronze,9,4429634
Australia,1964,Silver,6,11167000
Netherlands,1996,Gold,38,15530498
Bahrain,2012,Bronze,1,1299943
Colombia,2004,Bronze,2,42075955
Netherlands,1988,Gold,6,14760094
United States of America,1972,Silver,77,209896000
China,2004,Silver,29,1296075000
North Korea,2000,Bronze,3,22929075
Afghanistan,2012,Bronze,1,31161376
Pakistan,1992,Bronze,16,113911126
South Africa,2000,Silver,2,44967708
Ireland,1980,Silver,2,3412800
Sweden,1976,Bronze,2,8222286
Latvia,2000,Gold,1,2367550
Malaysia,2016,Bronze,1,30684804
Jamaica,2016,Silver,17,2906238
Russia,1968,Bronze,69,128928000
New Zealand,1988,Bronze,16,3283400
Nigeria,1996,Gold,17,110668794
Gabon,2012,Silver,1,1749682
United States of America,1996,Bronze,52,269394000
Austria,2008,Bronze,2,8321496
South Korea,2014,Gold,7,50746659
Spain,1996,Bronze,22,39889852
Poland,1988,Silver,9,37824487
Australia,1984,Gold,7,15544000
Russia,1964,Bronze,60,125345000
South Korea,2014,Silver,5,50746659
Netherlands,1980,Silver,3,14149800
North Korea,1996,Silver,1,22113438
Sweden,1960,Silver,4,7484656
Czech Republic,2012,Silver,4,10510785
Indonesia,2008,Silver,2,235469762
Denmark,1998,Silver,5,5304219
Italy,2008,Bronze,20,58826731
Costa Rica,1988,Silver,1,2960929
Armenia,1996,Silver,1,3168221
South Korea,2000,Silver,26,47008111
United Kingdom,1972,Gold,8,56086065
Ethiopia,1960,Gold,1,22151278
New Zealand,1984,Silver,1,3227100
Norway,2004,Gold,5,4591910
Austria,2016,Bronze,2,8736668
United Kingdom,1996,Gold,2,58166950
Slovenia,2012,Gold,1,2057159
Mozambique,2000,Gold,1,17711927
France,2006,Bronze,10,63621381
Bulgaria,2000,Bronze,2,8170172
Spain,2000,Bronze,20,40567864
South Africa,2016,Gold,2,56203654
Germany,1964,Silver,48,75318337
Croatia,1992,Silver,12,4575818
Greece,1996,Silver,4,10608800
United States of America,2004,Bronze,71,292805298
Poland,2008,Gold,6,38125759
Ethiopia,1964,Gold,1,24397022
Belarus,2002,Bronze,1,9865548
Switzerland,1980,Silver,4,6319408
Egypt,2016,Bronze,3,94447072
Australia,2000,Bronze,54,19153000
Brazil,1988,Silver,17,143627503
Greece,2008,Silver,3,11077841
Brazil,2004,Gold,18,184006481
New Zealand,1964,Gold,4,2585400
Switzerland,2008,Silver,1,7647675
Ukraine,2008,Silver,5,46258200
Lithuania,2012,Gold,2,2987773
Norway,2002,Silver,11,4538159
Finland,1984,Silver,5,4881803
Lithuania,2000,Gold,2,3499536
Canada,2010,Silver,15,34004889
Kenya,1972,Gold,5,12146068
Romania,1964,Silver,4,18919126
France,1960,Gold,1,46621669
Romania,2008,Gold,5,20537875
Finland,1960,Silver,4,4429634
Australia,1976,Bronze,8,14033000
Bulgaria,2004,Bronze,14,7716860
Ukraine,2012,Gold,9,45593300
Hungary,1980,Bronze,40,10711122
Netherlands,2016,Bronze,13,17030314
Belgium,1996,Silver,2,10156637
Norway,1998,Bronze,12,4431464
Brazil,1980,Bronze,5,120694009
Germany,2004,Gold,41,82516260
Finland,1980,Gold,4,4779535
Netherlands,1988,Bronze,38,14760094
United States of America,1998,Bronze,5,275854000
India,1972,Bronze,14,581087256
Austria,1972,Bronze,4,7544201
Canada,1980,Silver,1,24515667
Azerbaijan,1996,Silver,1,7763000
Qatar,2000,Bronze,1,592468
Israel,2000,Bronze,1,6289000
Turkey,1996,Silver,1,59423282
Puerto Rico,2012,Silver,1,3634488
Norway,1968,Bronze,2,3816486
New Zealand,1992,Bronze,5,3531700
Indonesia,1992,Gold,2,187739786
North Korea,2008,Silver,1,24310142
Slovakia,2008,Bronze,1,5379233
Iraq,1960,Bronze,1,7289760
South Korea,1964,Bronze,1,27984155
Mexico,2016,Silver,3,123333376
Belarus,2008,Silver,5,9527985
Cuba,1980,Silver,7,9849459
Spain,1976,Silver,6,36137812
North Korea,2016,Bronze,2,25307744
Azerbaijan,2008,Silver,2,8763400
Portugal,2008,Gold,1,10558177
Slovakia,2010,Silver,1,5391428
Australia,1960,Gold,11,10276477
Romania,1968,Silver,9,19799831
Italy,1996,Silver,24,56860281
Uzbekistan,1996,Bronze,1,23225000
Egypt,1984,Silver,1,47968642
United Kingdom,1960,Silver,11,52400000
Poland,2012,Bronze,8,38063164
Singapore,2008,Silver,3,4839396
Poland,2004,Gold,4,38182222
China,2014,Bronze,5,1364270000
Cuba,1976,Bronze,14,9554188
Spain,1988,Gold,1,38766939
Canada,2008,Silver,13,33247118
Nigeria,2004,Bronze,8,135320422
Netherlands,1984,Gold,20,14424211
Colombia,2008,Silver,1,44254975
Ireland,1992,Silver,1,3558430
Argentina,2008,Bronze,31,40080160
Bulgaria,2000,Silver,6,8170172
Greece,2012,Bronze,3,11045011
Russia,2002,Silver,5,145306046
Jamaica,2004,Silver,1,2725015
Romania,2012,Gold,2,20058035
Brazil,2004,Bronze,3,184006481
Venezuela,1980,Silver,1,15182611
Bahamas,2000,Bronze,5,298051
Iran,1976,Bronze,1,33733961
Kyrgyzstan,2008,Bronze,1,5318700
United States of America,2008,Bronze,80,304093966
Mongolia,2012,Silver,2,2824699
Sweden,1968,Gold,7,7912273
Sweden,1992,Bronze,13,8668067
Thailand,1996,Gold,1,60130186
New Zealand,1972,Bronze,1,2903900
Brazil,1992,Silver,1,154259380
Germany,1996,Gold,42,81914831
North Korea,1996,Bronze,2,22113438
Norway,1972,Bronze,11,3933004
Belgium,2000,Silver,3,10251250
Finland,2008,Bronze,2,5313399
United States of America,1988,Silver,67,244499000
Austria,1968,Gold,3,7415403
France,2006,Gold,3,63621381
Iran,2012,Gold,4,75539862
Italy,2014,Bronze,12,60789140
Canada,2004,Silver,10,31940655
Romania,2012,Silver,8,20058035
Algeria,2000,Silver,1,31042235
Netherlands,1972,Bronze,4,13328593
Morocco,1988,Bronze,2,23903592
Thailand,2004,Silver,1,64995299
South Africa,2016,Bronze,14,56203654
Brazil,1972,Bronze,2,99859383
Kazakhstan,2012,Bronze,5,16792089
Greece,2008,Bronze,4,11077841
Belgium,2012,Bronze,2,11106932
Turkey,1964,Silver,3,30244261
Greece,1992,Gold,2,10399061
Croatia,2004,Bronze,3,4304600
Belgium,1984,Silver,2,9855372
Indonesia,2016,Gold,2,261554226
Canada,1994,Bronze,5,29000663
United Kingdom,1964,Bronze,5,54000000
Denmark,1972,Gold,1,4991596
Sweden,1964,Gold,9,7661354
Finland,2006,Bronze,7,5266268
Canada,2010,Gold,67,34004889
Switzerland,2012,Silver,2,7996861
Austria,2006,Bronze,7,8268641
Liechtenstein,1984,Bronze,2,27036
Turkey,2004,Gold,3,67010930
Czech Republic,2004,Bronze,6,10197101
Burundi,2016,Silver,1,10487998
Poland,1964,Gold,10,31139450
Cuba,2016,Bronze,4,11335109
Denmark,2004,Gold,19,5404523
France,2000,Silver,30,60912500
Austria,1964,Bronze,3,7223801
Greece,1988,Bronze,1,10036983
Austria,1992,Gold,9,7840709
Kuwait,2000,Bronze,1,2045123
Finland,1996,Bronze,1,5124573
Trinidad,2012,Bronze,5,1344817
Czech Republic,2014,Gold,2,10525347
Ivory Coast,2016,Bronze,1,23822714
Venezuela,2016,Bronze,2,29846179
Netherlands,1998,Gold,5,15707209
Moldova,2000,Silver,1,3639592
Dominican Republic,2012,Silver,1,9930911
China,2002,Gold,2,1280400000
North Korea,1980,Silver,3,17472140
Argentina,1968,Bronze,2,23168267
Hungary,1976,Bronze,35,10598677
Hungary,2016,Silver,3,9814023
Mexico,2000,Gold,1,98899845
United Kingdom,2004,Gold,17,59987905
Croatia,2014,Silver,1,4238389
United States of America,1980,Gold,24,227225000
Latvia,2008,Gold,1,2177322
Germany,1980,Gold,131,78288576
Kazakhstan,2004,Bronze,3,15012985
Greece,1960,Gold,3,8331725
Switzerland,1960,Silver,6,5327827
United Kingdom,1980,Gold,6,56314216
Mongolia,1992,Bronze,2,2243495
Denmark,1980,Bronze,2,5123027
New Zealand,2008,Gold,4,4259800
Vietnam,2000,Silver,1,79910412
South Africa,2008,Silver,1,49779471
Colombia,1992,Bronze,1,34422569
Ukraine,1996,Gold,10,51057189
United States of America,2000,Bronze,51,282162411
Netherlands,1980,Gold,1,14149800
Slovakia,1996,Silver,1,5373361
France,1992,Silver,11,58851217
Brazil,2016,Silver,8,206163058
Slovenia,2016,Bronze,1,2065042
Japan,2000,Silver,31,126843000
Netherlands,2014,Silver,7,16865008
Finland,1972,Silver,10,4639657
Italy,2016,Gold,8,60627498
Canada,2006,Bronze,11,32571174
Trinidad,2000,Bronze,1,1267153
Austria,1998,Silver,5,7976789
Kenya,2016,Gold,6,49051686
Finland,1968,Bronze,6,4626469
Switzerland,1992,Gold,3,6875364
Poland,1968,Silver,2,32294655
Ukraine,2014,Bronze,1,45271947
Austria,1980,Silver,5,7549433
Czech Republic,1980,Gold,17,10304193
North Korea,2008,Bronze,3,24310142
Portugal,2004,Bronze,1,10483861
Turkey,1992,Silver,2,55748948
Azerbaijan,2016,Silver,7,9757812
Djibouti,1988,Bronze,1,528999
Belarus,1998,Bronze,2,10069000
Slovakia,2000,Bronze,1,5388720
India,2000,Bronze,1,1056575549
Cameroon,2004,Gold,1,17259322
Ecuador,2008,Silver,1,14535739
Mongolia,2008,Gold,2,2631898
Switzerland,2016,Bronze,2,8373338
Switzerland,2008,Bronze,7,7647675
Italy,2006,Bronze,14,58143979
United States of America,2014,Gold,10,318386421
Finland,1968,Silver,4,4626469
France,2004,Gold,21,62704895
Austria,1972,Gold,1,7544201
Jamaica,2008,Silver,3,2781876
Bulgaria,2002,Bronze,2,7837161
United States of America,2010,Bronze,22,309326085
South Korea,2002,Silver,2,47644736
South Korea,1976,Silver,1,35848523
Finland,2000,Silver,1,5176209
Ukraine,1996,Silver,5,51057189
Turkey,1992,Gold,2,55748948
Bahamas,1992,Bronze,1,266029
Morocco,2016,Bronze,1,35126296
Russia,2002,Bronze,27,145306046
Australia,1988,Bronze,11,16532200
Czech Republic,2002,Silver,2,10196916
Venezuela,1976,Silver,1,13572208
South Korea,2012,Bronze,30,50199853
Japan,1964,Bronze,25,97826000
Poland,2000,Silver,10,38258629
Australia,1984,Silver,14,15544000
Estonia,2012,Silver,1,1322696
Cuba,1964,Silver,1,7793262
Bahamas,1996,Silver,5,283978
Canada,1968,Silver,4,20744000
Romania,1980,Silver,15,22242653
Japan,2010,Silver,5,128070000
Canada,1964,Bronze,2,19325000
Hungary,1980,Gold,8,10711122
Nigeria,1996,Silver,4,110668794
United States of America,2008,Silver,110,304093966
France,2012,Gold,30,65659809
Barbados,2000,Bronze,1,271515
China,2012,Silver,40,1350695000
Russia,1988,Gold,174,146857000
Norway,1972,Gold,4,3933004
Austria,1994,Gold,2,7936118
Finland,1998,Gold,2,5153498
Nigeria,1972,Bronze,1,58665808
Switzerland,2000,Silver,11,7184250
Hungary,1976,Silver,6,10598677
Czech Republic,1968,Gold,8,9876346
Lithuania,2004,Silver,2,3377075
Kazakhstan,2000,Gold,3,14883626
Kenya,1996,Bronze,3,28589451
South Korea,1968,Bronze,1,30838302
Cuba,2016,Silver,2,11335109
Italy,2002,Silver,11,57059007
Spain,1992,Silver,19,39157685
Spain,2000,Gold,3,40567864
Italy,1964,Bronze,17,51675350
Russia,2008,Bronze,53,142742350
Brazil,2004,Silver,19,184006481
Switzerland,1972,Bronze,7,6260956
Egypt,2008,Bronze,1,79636079
Canada,2012,Bronze,33,34714222
France,2010,Bronze,6,65027507
Bahamas,2008,Bronze,1,343681
New Zealand,1960,Bronze,1,2371800
Italy,2008,Gold,8,58826731
Japan,2004,Gold,21,127761000
China,2010,Gold,9,1337705000
Russia,1988,Silver,81,146857000
Hungary,2000,Silver,24,10210971
Morocco,2008,Silver,1,31536811
Denmark,2004,Silver,1,5404523
Sweden,1960,Gold,7,7484656
Denmark,1988,Silver,1,5129516
Bulgaria,1980,Bronze,39,8861535
Ethiopia,1980,Gold,2,35141712
Serbia,2012,Bronze,14,7199077
Kenya,2000,Gold,2,31964557
Netherlands,2014,Bronze,9,16865008
Netherlands,2004,Gold,4,16281779
Norway,2002,Gold,23,4538159
Japan,1998,Bronze,4,126400000
New Zealand,1972,Silver,4,2903900
Ivory Coast,2016,Gold,1,23822714
Ireland,1996,Gold,3,3637510
Croatia,1992,Bronze,3,4575818
Kenya,1984,Bronze,2,19146400
Iran,2012,Silver,5,75539862
Australia,1980,Bronze,5,14692000
Bahamas,2000,Gold,6,298051
Switzerland,1992,Bronze,5,6875364
Turkey,1996,Gold,4,59423282
Uzbekistan,2008,Gold,1,27302800
Morocco,2004,Silver,1,30115214
Italy,2010,Silver,1,59277417
New Zealand,1992,Silver,10,3531700
Ukraine,2006,Bronze,3,46787750
United Kingdom,1976,Silver,15,56211968
Belarus,2012,Silver,12,9464495
Botswana,2012,Silver,1,2039551
Bahamas,2012,Gold,4,363584
Italy,1984,Bronze,28,56576718
Pakistan,1960,Bronze,1,44988690
Austria,2006,Silver,7,8268641
Sweden,1996,Silver,23,8840998
Mongolia,1996,Bronze,1,2316568
Chile,1988,Silver,1,12847708
Slovenia,2008,Silver,2,2021316
Moldova,1996,Silver,2,3667748
Slovakia,2000,Silver,3,5388720
Norway,2008,Gold,16,4768212
Switzerland,1980,Gold,4,6319408
France,1996,Gold,21,59753100
Switzerland,2004,Bronze,4,7389625
Finland,2014,Silver,7,5461512
